Hanzi,Pinyin,O'zbekcha
行人,xíngrén,Piyoda; yo’lovchi
行为,xíngwéi,Harakat; hodisa
形成,xíngchéng,Yuzaga kelmoq
形容,xíngróng,Aks ettirmoq
形式,xíngshì,Forma; tur; ko’rinish
形势,xíngshì,Vaziyat; holat
形象,xíngxiàng,Ramz; timsol; obraz
形状,xíngzhuàng,Qiyofa
醒,xǐng,Uyg’onmoq
姓,xìng,Familiya
性别,xìngbié,Jins
性格,xìnggé,Xarakter
性质,xìngzhì,Xarakter; xususiyat
幸福,xìngfú,Baxt; baxtli
幸亏,xìngkuī,Baxtli
幸运,xìngyùn,Omadlilik
兴趣,xìngqù,Qiziqish
胸,xiōng,Ko’krak
兄弟,xiōngdì,Aka-ukalik
熊猫,xióngmāo,Panda
雄伟,xióngwěi,Buyuk
修,xiū,Tuzatmoq
修改,xiūgǎi,O’zgartirmoq
休息,xiūxi,Dam olmoq
休闲,xiūxián,Bo’sh vaqt
虚心,xūxīn,Kamtar; kamtarlik
需要,xūyào,Kerak; shart
许多,xǔduō,Ko’p
叙述,xùshù,Ifoda etmoq; ifodalash
宣布,xuānbù,Bildirmoq
宣传,xuānchuán,Targ’ib qilmoq
选举,xuǎnjǔ,Tanlamoq; saylamoq
选择,xuǎnzé,Tanlamoq
学期,xuéqī,Semestr
学生,xuésheng,Talaba; o’quvchi
学术,xuéshù,Ilm; fan
学问,xuéwen,Ilm; bilim; bilimli
学习,xuéxí,O’qimoq; o’qish
学校,xuéxiào,Maktab; o’quv binosi
雪,xuě,Qor
血,xuè,Qon
询问,xúnwèn,So’ramoq
寻找,xúnzhǎo,Qidirmoq
训练,xùnliàn                  Tayyorlanmoq, mashq qilmoq 2088. 迅速      [xùnsù,Tezkor; tez
压力,yālì,Bosim; tazyiq
牙膏,yágāo,Tish pastasi
亚洲,Yàzhōu,Osiyo
呀,ya,Undov so’z; - ey; - ay; - oy
盐,yán,Tuz
延长,yáncháng,Uzaytirmoq; ko’paytirmoq
严格,yángé,Talabchan
严肃,yánsù,Qattiqqo’l
严重,yánzhòng,Jiddiy
研究生,yánjiūshēng,Aspirant
颜色,yánsè,Rang
演出,yǎnchū,Namoyish qilmoq
演员,yǎnyuán,Aktyor
眼镜,yǎnjìng,Ko’zoynak
眼睛,yǎnjing,Ko’z
宴会,yànhuì,Bazm
阳光,yángguāng,Quyosh nuri
羊肉,yángròu,Qo’y go’shti
阳台,yángtái,Balkon; ayvon
痒,yǎng,Qashimoq; qichimoq; qichima
养成,yǎngchéng,Yasamoq; tayyorlamoq
样式,yàngshì,Ko’rinish; bichim
样子,yàngzi,Ko’rinish; nusxa; bichim
腰,yāo,Bel
邀请,yāoqǐng,Taklif qilmoq; taklif
要求,yāoqiú,Talab qilmoq; talab
摇,yáo,Tebranmoq; silkinmoq
咬,yǎo,Tishlamoq
药,yào,Dori
要,yào,Xohlamoq; istamoq
要不,yàobù,Aks holda; bo’lmasa; yo’qsa
要是,yàoshi,Agar
钥匙,yàoshi,Kalit
爷爷,yéye,Bobo
也,yě,Ham
也许,yěxǔ,Balkim
页,yè,Bet; sahifa
夜,yè,Tun
液体,yètǐ,Suyuqlik; siyraklik; kuchsiz tana
业务,yèwù,Mutaxassislik; soha
业余,yèyú,Bo’sh vaqt
叶子,yèzi,Barg
一,yī,Bir
衣服,yīfu,Kiyim
依然,yīrán,Avvalgidek
医生,yīshēng,Shifokor
医院,yīyuàn,Shifoxona
一辈子,yíbèizi,Butun umr
一旦,yídàn,Bir kuni
一定,yídìng,Albatta
一共,yígòng,Hammasi
一会儿,yíhuìr,Ozgina
一路平安,yílù píng'ān,Oq yo’l
一切,yíqiè,Hammasi
一样,yíyàng,Bir xil
一致,yízhì,Birdamlik; yakdil; hamjihat
移动,yídòng,Harakatlanmoq; ko’chirmoq
移民,yímín,Ko’chib kelgan kishi; emigrant
遗憾,yíhàn,Afsuslanmoq
疑问,yíwèn,Shubha; gumon; savol
乙,yǐ,Ikkinchi
以,yǐ,Bilan;orqali; yordamida
以后,yǐhòu,Keyin
以及,yǐjí,Hamda; shuningdek
以来,yǐlái,O’sha vaqtdan
以前,yǐqián,Avval; ilgari
以为,yǐwéi,Hisoblamoq
已经,yǐjīng,Allaqachon
椅子,yǐzi,Stul; kursi
亿,yì,Yuz million
一般,yìbān,Odatiy; oddiy
一边,yìbiān,Bir tomondan
一起,yìqǐ,Birga; birgalikda
一直,yìzhí,To’g’ri; bevosita
意见,yìjiàn,Fikr
意思,yìsi,Ma’no
意外,yìwài,Kutilmagan
意义,yìyì,Fikr; ma’no
议论,yìlùn,Muhokama qilmoq
艺术,yìshù,San’at
义务,yìwù,Qarz; majburiy;shart
阴,yīn,Bulutli; soya
因此,yīncǐ,Shuning uchun; shu bois
因而,yīn'ér,Shuning uchun; shu bois
因素,yīnsù,Omil
因为,yīnwèi,Chunki
音乐,yīnyuè,Musiqa
银,yín,Kumush
银行,yínháng,Bank
饮料,yǐnliào,Ichimlik
引起,yǐnqǐ,Sabab bo’lmoq; yuzaga keltirmoq
印象,yìnxiàng,Taassurot
应该,yīnggāi,Kerak; shart
英俊,yīngjùn,Iste’dodli; atoqli
英雄,yīngxióng,Qahramon
赢,yíng,Yutmoq; g’alaba qilmoq
迎接,yíngjiē,Kutib olmoq
营养,yíngyǎng,Ovqatlantirmoq; boqmoq; ovqatlanish; ovqatlantirish
营业,yíngyè,Savdo-sotiq qilmoq
影响,yǐngxiǎng,Ta’sir qilmoq
影子,yǐngzi,Soya; soyali
硬,yìng,Qattiq
硬币,yìngbì,Tanga
硬件,yìngjiàn,Temir; kompyuter detallari
应付,yìngfu,Uddalamoq; eplamoq
应聘,yìngpìn,Taklifini qabul qilmoq
应用,yìngyòng,Qo’llamoq; tatbiq qilmoq
拥抱,yōngbào,Quchoqlamoq; quchoqlashmoq
拥挤,yōngjǐ,Siqilishmoq; siqilib turmoq; siqilinch; tiqilinch
勇敢,yǒnggǎn,Botir; jasur
勇气,yǒngqì,Dadillik; jasurlik
永远,yǒngyuǎn,Har doim
用,yòng,Foydalanmoq; ishlatmoq
用途,yòngtú,Qo’llash; tatbiq qilish
优点,yōudiǎn,Fazilat; yaxshi xislat
优惠,yōuhuì,Imtiyoz; yengillik
优美,yōuměi,Ajoyib; go’zal
优势,yōushì,Afzallik; ustunlik
优秀,yōuxiù,Ajoyib; diqqatni tortadigan
悠久,yōujiǔ,Allaqachongi; burungi
幽默,yōumò,Yumor
由,yóu,- dan; - dan tashkil topgan; orqali
由于,yóuyú,Shu sababli
邮局,yóujú,Pochta
游览,yóulǎn,Sayohatga chiqmoq; ziyorat qilmoq
游戏,yóuxì,O’ynamoq; o’yin
游泳,yóuyǒng,Suzmoq; suzish
尤其,yóuqí,Ayniqsa; asosiysi
犹豫,yóuyù,Ikkilanmoq
油炸,yóuzhá,Yog’da qovurmoq
有,yǒu,Bor
有利,yǒulì,Foydali; nafli
有名,yǒumíng,Mashhur
有趣,yǒuqù,Qiziqarli
友好,yǒuhǎo,Do’stlashmoq; yaqin do’st; do’stlik
友谊,yǒuyì,Do’stlik; do’stona
又,yòu,Yana
右边,yòubian,O’ng tomon
幼儿园,yòu'éryuán,Bolalar bog’chasi
鱼,yú,Baliq
愉快,yúkuài,Xursand
娱乐,yúlè,Ko’ngil ochuvchi
于是,yúshì,O’shanda; shunday
与,yǔ,Bilan; va
与其,yǔqí,Shu bilan birga
语法,yǔfǎ,Grammatika
语气,yǔqì,Ohang; modallik
语言,yǔyán,Til
羽毛球,yǔmáoqiú,Badminton
宇宙,yǔzhòu,Fazo; kosmos; yer shari; kosmik
预报,yùbào,Oldindan aytish
预订,yùdìng,Buyurtma qilmoq
预防,yùfáng,Chora ko’rmoq
预习,yùxí,Ko’rib chiqmoq
遇到,yùdào,Uchratmoq; duch kelmoq
玉米,yùmǐ,Makkajo’xori
圆,yuán,Yumaloq
元,yuán,Xitoy pul birligi
缘故,yuángù,Sabab
原来,yuánlái,Avval; boshida
原谅,yuánliàng,Kechirmoq
原料,yuánliào,Tarkibiy qism
原因,yuányīn,Sabab
原则,yuánzé,Qonun-qoida; tartib
远,yuǎn,Uzoq
愿望,yuànwàng,Orzu
愿意,yuànyì,Tilamoq; xohlamoq
约会,yuēhuì,Uchrashuv
越,yuè,Oshirmoq
月,yuè,Oy
月亮,yuèliang,Oymomo
阅读,yuèdú,O’qimoq; o’qish
晕,yūn,Hushidan ketmoq
云,yún,Bulut
允许,yǔnxǔ,Ruxsat bermoq; ijozat bermoq
运动,yùndòng,Sport; atletika
运气,yùnqi,Omad; taqdir
运输,yùnshū,O’tkazib qo’ymoq
运用,yùnyòng,Foydalanmoq; ishlatmoq
杂志,zázhì,Jurnal
灾害,zāihài,Falokat; musibat
在,zài,Tirik bo’lmoq; shu yerda; - da
再,zài,Yana; qayta
再见,zàijiàn,Xayr; ko’rishguncha
再三,zàisān,Takror-takror; qayta-qayta
咱们,zánmen,Biz
赞成,zànchéng,Ma’qullamoq; qo’llab- quvvatlamoq
赞美,zànměi,Maqtamoq
暂时,zànshí,Muvaqqat; vaqtinchalik
脏,zāng,Kir qilmoq; iflos
糟糕,zāogāo,Omadsizlik
早上,zǎoshang,Ertalab
造成,zàochéng,Yaratmoq; chorlamoq
则,zé,O’sha vaqtda; o’sha vaziyatda
责备,zébèi,Tanbeh bermoq; koyimoq
责任,zérèn,Burch; ma’suliyat; javobgarlik
怎么,zěnme,Qanday? Qanday qilib?
怎么样,zěnmeyàng,Qanday? Qanaqa?
增加,zēngjiā,Qo’shmoq
增长,zēngzhǎng,Ulg’aymoq
摘,zhāi,Termoq; yechmoq
窄,zhǎi,Tor; ensiz
粘贴,zhāntiē,Yopishtirmoq
展开,zhǎnkāi,Ochmoq; oshkor qilmoq
展览,zhǎnlǎn,Ko’rgazma qilmoq
站,zhàn,Turmoq; bekat
占线,zhànxiàn,Band (telefonda)
战争,zhànzhēng,Urush
张,zhāng,Ochmoq; hisob so’z (sirti tekis narsalarga)
长,zhǎng,Katta
涨,zhǎng,Ko’tarilmoq
掌握,zhǎngwò,Egallamoq
丈夫,zhàngfu,Er; haqiqiy erkak
账户,zhànghù,Hisob raqam; hisob qaydi
招待,zhāodài,Qabul qilmoq; qabul
招聘,zhāopìn,Taklif qilmoq; yollamoq
着急,zháojí,Hayajonlanmoq
着凉,zháoliáng,Shamollamoq
找,zhǎo,Izlamoq; qidirmoq
召开,zhàokāi,Chaqirmoq; yig’moq
照常,zhàocháng,Doimgidek
照顾,zhàogù,G’amxo’rlik qilmoq
照片,zhàopiàn,Rasm
照相机,zhàoxiàngjī,Fotoapparat
哲学,zhéxué,Falsafa
这儿,zhèr,Bu yer
着,zhe,Suffiks (harakat davomiyligini anglatadi)
真,zhēn,Juda; haqiqiy
真理,zhēnlǐ,Haqiqat; to’g’rilik
真实,zhēnshí,Haqiqiy
真正,zhēnzhèng,Haqiqiy; chin
针对,zhēnduì,Qarshi yo’naltirmoq
珍惜,zhēnxī,Qadrlamoq; asramoq
诊断,zhěnduàn,Kasallikni aniqlamoq
枕头,zhěntou,Yostiq
阵,zhèn,Hisob so’z (tabiat hodisalariga)
振动,zhèndòng,Tebranmoq; pirpiramoq
睁,zhēng,Ko’zni ochmoq
争论,zhēnglùn,Bahslashmoq; bahs
争取,zhēngqǔ,Intilmoq; urinmoq
征求,zhēngqiú,So’ramoq; yig’moq
整个,zhěnggè,Butun
整理,zhěnglǐ,Tartibga solmoq
整齐,zhěngqí,Tekis; silliq
整体,zhěngtǐ,Butun; qoldiqsiz
正,zhèng,Xuddi; ayni; to’g’ri
正常,zhèngcháng,Odatiy; tabiiy
正好,zhènghǎo,Eng yaxshi; yaxshisi
正确,zhèngquè,Aniq; to’g’ri; shubhasiz
正式,zhèngshì,Rasmiy
正在,zhèngzài,Ayni payt
政策,zhèngcè,Siyosat
政府,zhèngfǔ,Hukumat; hokimiyat
政治,zhèngzhì,Siyosat; siyosiy
证件,zhèngjiàn,Dalil; isbot; guvohlik
证据,zhèngjù,Dalil; isbot
证明,zhèngmíng,Tasdiqlamoq; isbotlamoq
挣钱,zhèngqián,Ishlab topmoq;mehnat qilmoq
只,zhī,Faqat
之,zhī,Yordamchi so’z; tushum k. (-ning) o’rnida ham qo’llaniladi
支,zhī,Yordam bermoq; qo’llab- quvvatlamoq; hisob so’z (ruchka; qalamga)
支持,zhīchí,Qo’llab-quvvatlamoq
支票,zhīpiào,Chek; patta
知道,zhīdào,Bilmoq
知识,zhīshi,Bilim; ilm; ma’lumot
直,zhí,To’g’ri; vertikal
直接,zhíjiē,To’g’ri; bevosita
值得,zhíde,Arzimoq; loyiq bo’lmoq
植物,zhíwù,O’simlik
执行,zhíxíng,Bajarmoq; ijro etmoq
执照,zhízhào,Guvohnoma; haydovchilik guvohnomasi
职业,zhíyè,Kasb; mutaxassislik
指,zhǐ,Ko’rsatmoq; barmoq
指导,zhǐdǎo,Boshqarmoq; olib bormoq
指挥,zhǐhuī,Boshqarmoq; rahbarlik qilmoq; hisob so’z ()
只,zhǐ,Hisob so’z (hayvon; qo’l va oyoq kiyimlarga)
只好,zhǐhǎo,Yaxshisi
只要,zhǐyào,Agar
制定,zhìdìng,Ishlab chiqarmoq; tayyorlamoq; tuzmoq
制度,zhìdù,Tuzum; rejim
制造,zhìzào,Ishlab chiqarmoq
制作,zhìzuò,Ishlab chiqarmoq;tayyorlamoq
智慧,zhìhuì,Donolik
至今,zhìjīn,Hozirgi paytda; hozirda; bugungi kunda
至少,zhìshǎo,Eng kam; minimum
至于,zhìyú,– ga kelsak
质量,zhìliàng,Sifat; sifatli
治疗,zhìliáo,Davolamoq; davolash
秩序,zhìxù,Tartib
志愿者,zhìyuànzhě,Ko’ngilli askar
钟,zhōng,Soat; qo’ng’iroq
中国,Zhōngguó,Xitoy
中间,zhōngjiān,O’rtada; o’rta
中介,zhōngjiè,Vositachilik; dallollik
中文,Zhōngwén,Xitoy tili
中午,zhōngwǔ,Tushki payt; choshgoh
中心,zhōngxīn,Markaz; markaziy
中旬,zhōngxún,Ikkinchi o’n kunlik
终于,zhōngyú,Nihoyat
种,zhǒng,Tur; xil; oila; nasl; irq
重,zhòng,Og’ir; kuchli
重点,zhòngdiǎn,Asosiy tomon; qism
重量,zhòngliàng,Massa; vazn; og’irlik
重视,zhòngshì,Tikilib qaramoq; e’tibor qilmoq; qadrlamoq
重要,zhòngyào,Muhim
周到,zhōudào,Puxta qilingan; ziyrak
周末,zhōumò,Hafta oxiri; dam olish kunlari
周围,zhōuwéi,Atrof-muhit
猪,zhū,Cho’chqa
逐步,zhúbù,Qadamba qadam; asta- sekin; bora-bora
逐渐,zhújiàn,Asta-sekin; bora-bora
竹子,zhúzi,Bambuk
煮,zhǔ,Qaynatmoq
主持,zhǔchí,Olib bormoq; raislik qilmoq
主动,zhǔdòng,Tashabbus ko’rsatmoq
主观,zhǔguān,Subyektiv; noxolis
主人,zhǔrén,Boshqaruvchi; uy bekasi
主席,zhǔxí,Rais
主要,zhǔyào,Asosiy
主意,zhǔyi,Fikr
主张,zhǔzhāng,Qarash; nazar; bildirmoq
嘱咐,zhǔfù,Buyurmoq
住,zhù,Yashamoq
祝,zhù,Tabriklamoq; tilamoq
祝福,zhùfú,Baxt tilamoq
祝贺,zhùhè,Tabriklamoq
注册,zhùcè,Ro’yxatdan o’tmoq; ro’yxatga olmoq
注意,zhùyì,Diqqat qilmoq
著名,zhùmíng,Mashhur; taniqli
抓紧,zhuājǐn,Asosli qo’lga olmoq; ushlamoq
专家,zhuānjiā,Mutaxassis
专门,zhuānmén,Maxsus; ixtisoslashtirilgan
专心,zhuānxīn,To’planmoq
专业,zhuānyè,Mutaxassislik
转变,zhuǎnbiàn,Almashtirmoq;o’zgartirmoq; o’zgartirish
转告,zhuǎngào,Bayon qilmoq; bildirmoq
赚,zhuàn,Ishlamoq; topmoq; orttirmoq
装,zhuāng,Kiyinmoq; kiyintirmoq;kiyim; libos
装饰,zhuāngshì,Bezamoq; ziynatlamoq; bezak
撞,zhuàng,Urilmoq; to’qnashmoq
状况,zhuàngkuàng,Holat; vaziyat
状态,zhuàngtài,Holat; vaziyat
追求,zhuīqiú,Intilmoq; quvmoq
准备,zhǔnbèi,Tayyorlanmoq; tayyorlanish
准确,zhǔnquè,Aniq; to’g’ri
准时,zhǔnshí,O’z vaqtida; aytilgan vaqtida
桌子,zhuōzi,Stol
资格,zīgé,Muddat; staj
资金,zījīn,Mablag’; sarmoya
资料,zīliào,Ma’lumot;material; mablag’; kapital
资源,zīyuán,Resurs
姿势,zīshì,Vaziyat; holat; gavdaning holati
咨询,zīxún,Surishtirmoq; aniqlamoq
紫,zǐ,Binafsharang
仔细,zǐxì,Diqqat bilan; sinchiklab
字,zì,Iyeroglif; so’z
字典,zìdiǎn,Lug’at
字幕,zìmù,Izohli yozuv; subtitr
自从,zìcóng,Shundan beri
自动,zìdòng,O’zi harakatlanuvchi; avtomatik
自豪,zìháo,Faxrlanmoq; mag’rurlanmoq; faxr; g’urur
自己,zìjǐ,O’zi
自觉,zìjué,Kayfiyat; o’z-o’zini anglash; onglilik
自然,zìrán,Tabiat; tabiiy
自私,zìsī,Xudbinlik
自信,zìxìn,O’ziga ishonmoq
自行车,zìxíngchē,Velosiped
自由,zìyóu,Erkin; erkinlik
自愿,zìyuàn,Ixtiyoriy; ko’ngilli
综合,zōnghé,Umumlashtirmoq; jamlamoq
宗教,zōngjiào,Din
总裁,zǒngcái,Bosh boshqaruvchi
总共,zǒnggòng,Hammasi; jami
总结,zǒngjié,Umumlashtirmoq; to’plamoq
总理,zǒnglǐ,Bosh vazir
总是,zǒngshì,Har doim
总算,zǒngsuàn,Nihoyat
总统,zǒngtǒng,Prezident
总之,zǒngzhī,Umuman; bir so’z bilan
走,zǒu,Bormoq; yurmoq
租,zū,Ijaraga olmoq
组成,zǔchéng,Tuzmoq; tashkil etmoq; yaratmoq; shakllantirmoq
组合,zǔhé,Tuzmoq; yaratmoq; birlashtirmoq; birlashma
组织,zǔzhī,Tashkillashtirmoq; tuzmoq; tashkilot
祖国,zǔguó,Vatan; diyor
祖先,zǔxiān,Oldindan
阻止,zǔzhǐ,To’xtatmoq; to’sqinlik qilmoq
嘴,zuǐ,Og’iz; tumshuq
醉,zuì,Mast bo’lmoq; mast
最,zuì,Eng
最初,zuìchū,Boshida
最好,zuìhǎo,Eng yaxshi; eng a’lo
最后,zuìhòu,So’nggi; oxirgi
最近,zuìjìn,Oxirgi paytlarda; oxirgi; keyingi
罪犯,zuìfàn,Jinoyatchi
尊敬,zūnjìng,Qadrlamoq; qadrli
尊重,zūnzhòng,Qadrlamoq
遵守,zūnshǒu,Amal qilmoq; rioya qilmoq
昨天,zuótiān,Kecha
左边,zuǒbian,O’ng tomon
坐,zuò,O’tirmoq; ketmoq; bormoq
做,zuò,Qilmoq; tayyorlamoq; yozmoq
做生意,zuò shēngyi,Biznes bilan shug’ullanmoq; savdo qilmoq
座,zuò,Joy; o’rindiq
座位,zuòwèi,Joy; o’rindiq
作品,zuòpǐn,Mahsulot; insho
作为,zuòwéi,Harakat; faoliyat; yutuq; muvaffaqiyat
作文,zuòwén,Maqola yozmoq
作业,zuòyè,Vazifa; topshiriq
作用,zuòyòng,Rol; ahamiyat;mohiyat
作者,zuòzhě,Muallif
